Branch,PR,Issue,Merged
feat/banner-gradient,,,no
feat/chart-bubble-gradient-fix,,,no
feat/chart-momentum-scrolling,,,yes
feat/ekf-flowchart-math-tooltips,,,yes
feat/expand-ekf-acronym-title,,,yes
feat/flowchart-tab-icons-highlight,,,yes
feat/flowchart-tooltip-notation-legend,,,yes
feat/header-column-divider,,,yes,4
feat/plot-bubble-radius-match,12,11,yes
feat/problem-type-icon-gradients,,,yes
feat/problem-type-icon-light-mode,8,7,no
feat/problem-type-styling,,,yes
feat/problem-type-tab-white-border,,,no,5
feat/remove-ready-to-explore-block,,,yes
feat/simple-wave-icon-replacement,3,,yes
feat/simulation-tab-naming,2,,yes
fix/coming-soon-tab-disabled,10,9,yes
fix/coming-soon-tab-routing,1,,yes
